Date,Temperature,Humidity,Precipitation
2023-07-01,28.0,70,0.0
2023-07-02,30.5,65,0.0
2023-07-03,25.0,75,1.5
2023-07-04,22.0,80,2.0
2023-07-05,18.5,85,3.5
2023-07-06,31.0,60,0.0
2023-07-07,33.5,55,0.0
2023-07-08,29.0,68,0.0
2023-07-09,26.5,72,0.5
2023-07-10,24.0,78,1.0
2023-08-01,32.5,65,0.0
2023-08-02,35.0,60,0.2
2023-08-03,38.5,50,0.0
2023-08-04,36.0,55,0.0
2023-08-05,34.5,58,0.0
2023-08-06,28.0,68,0.8
2023-08-07,25.5,72,1.5
2023-08-08,31.0,63,0.0
2023-08-09,33.5,60,0.0
2023-08-10,37.0,52,0.0
2023-09-01,22.0,78,0.0
2023-09-02,19.5,82,1.5
2023-09-03,17.0,85,2.0
2023-09-04,20.5,80,0.0
2023-09-05,15.5,88,3.0
2023-09-06,23.0,75,0.0
2023-09-07,25.5,70,0.0
2023-09-08,21.0,76,0.5
2023-09-09,18.0,83,1.0
2023-09-10,16.5,87,2.5
